  GIMNAZJUM          MARYNARZ         FALBANKA         EDUKACJA
   ćśorkyzrP           lateM              abmoB              einezdeJ
    ajeizdaN        ketsaiwreiP           anjoW                ajzA
    eicuzcU         rtemomreT            zreinłoŻ         ynśawk-okdołS

EINAWORAZCZOR         ĆĘTR            EWONIM ELOP        ANZYZCZSŃIHC


  WARKOCZ            CHŁOPI             AMNEZJA             MAKSYMA

   Uczesanie         Reymont             Pamięć             Przysłowie
    Zaplatać          Rolnicy          Wspomnienia           Aforyzm
     Chałka           Boryna              Mózg                 Myśl
     Włosy             Wieś             Wypadek             Sentencja
    Fryzura          Powieść              Zanik              Mądrość


    łóicśoK          kotowrK              yroloK          ataiwŚ ałokooD
   ęiS ćildoM         welyW               akbórP              aninśeiC
  owtsńeżobaN        ikwagrD             dałkyzrP             zralgeŻ
     zdąisK          aborohC              amroF              acwyrkdO
     amuS            akzcadaP            acyrtaM             awarpyW

 ATĘIWŚ AZSM      AJSKELPOPA            KINROZW         NALLEGAM DNANYDREF
   ACAPULCO         LODY NA PATYKU        MOZARELLA             AUKCJA

    Meksyk              Mrożone             Makaron            Sprzedaż
     Kurort             Lizanie               Biały            Przebijać
    Przebój              Zimne              Pomidory              Cena
    Pacyfik             Wafelek                Ser             Licytować
Ameryka Północna         Kulki               Włochy             Allegro


   icsonlautkA          eizdęłoŻ         ynawosotsyzrpeiN      retupmoK
      latroP               saL            owtsńezcełopS       einazrawtdO
     tenretnI           ćśoratS               tkatnoK            akyzuM
    azcrobyW            owezrD                 abosO            aknesoiP
   ejcamrofnI             aroK          anzcihcysP aborohC        3pM

   LP.ATEZAG              BĄD              ATAPOJCOS            PMANIW


  WARIOGRAF              BESSA             DZIURKACZ          BLUETOOTH

     Badanie             Giełda              Kartka          Transfer Danych
    Oszukiwać             Akcje              Otwór              Połączenie
Wykrywacz Kłamstw         Hossa            Segregator        Bezprzewodowy
     Kryminał            Spadek               Biuro               Telefon
  Przesłuchanie          Kryzys             Zszywacz             Komórka


     ongaB                ńeigO              kerunzS             O2H
      akąŁ              aigolotiM            ćanipaZ             zceiC
      watS                 góB                 ytuB              naecO
     adoW                ainźuK              ainarbU             ezroM
     awarT                lawoK               kesaP              kamS

    KARATAT           SOTSJAFEH            AKREMALK          ADOW ANOŁS


    TERMIT              ENIGMA           NUMIZMATYKA         ABSOLUTORIUM

    Społeczny               Kod             Pieniądze          Zaliczenie
     Mrówka              Maszyna              Moneta             Indeks
     Drewno                Szyfr            Banknoty            Magister
      Owad                Niemcy          Kolekcjonować          Studia
     Kopiec         Ii Wojna Światowa         Zbierać           Dyplom


    keróksaN               dąrP               ałgI             zcawyrdoP
    eicśęzczS           eicęipaN            einezdeJ           anzyzcżęM
    ajcinumA             akzcytW            kezcytaP            eicęjyzrP
      ksicoP            kezcyrtsP             ybęZ               ateiboK
       abyR             okdzainG             ćabułD             zraicrilF

     AKSUŁ             TKATNOK            AKZCAŁAKYW          KEMADIWAB


   GRYMASIĆ              KRACH               ATLAS             SZKOCJA

    Jedzenie            Spadek             Kontynenty           Skąpiec
  Kręcić Nosem           Bessa              Siłownia             Anglia
     Dziecko            Spółka                Mapy                 Kilt
    Marudzić           Załamanie            Książka          Wielka Brytania
   Wybrzydzać            Giełda                Klej              Whisky


     acinwiP             acinarG              einiwŚ              kurD
     ikatsuP          ćśowodoraN              arobO               tnoF
       moD               nyzruM                truN            grebnetuG
    awatsdoP            tnargimE             einezdeJ             kanZ
   akwórumdoP            mzisaR               akezR              aretiL

  TNEMADNUF         CEIWOJARKOCBO           OTYROK             AKNOICZC
  WIEDŹMIN              ŚLIMAK                     MARKER                   PZPR

   Żebrowski           Powolny                      Gruby                  Gomułka
     Geralt             Domek                       Mazak                 Komunizm
      Ciri               Rogi                       Kolory                  Partia
   Biały Wilk          Winniczek                     Pisak                  Zjazd
   Sapkowski            Muszla                   Niezmywalny              Socjalizm


     einarbU          akytametaM                     aworK                 nofeleT
    ynrowtyW             enaD                       ezcydołS                dąrP
       kyzS      awtsńeibodopodwarP airoeT         eiksjeplA               potpaL
      ajcarG           einadaB                     adalokezC              einalisaZ
   tsuG yrboD       ywosoL kinnyzC                   ledeW                akrómoK

  AJCNAGELE          AKYTSYTATS               OKZCELM EISATP             AKRAWODAŁ


    WKŁAD          FISZBINOWIEC                    POMPON               SKRZYP POLNY

      Tusz               Waleń                      Zima                    Napar
     Własny              Ocean                     Czapka                   Ogród
   Kominkowy            Wieloryb                Nakrycie Głowy            Zielarstwo
      Znicz              Gorset                     Kulka                   Roslina
    Długopis            Plankton                    Wełna                  Chwasty


    lohoklA         ytsibosO dówoD           icśokdęrP einezcorkezrP        kintraB
   noelopaN              remuN                       radaR                 akeisaP
    ydnarB          ynjycakifytnedI                 ajciloP                yłozczsP
   talytseD         ainezdorU ataD                 alortnoK                  dóiM
    kenurT             ajcnediwE                    tadnaM                   dawO

    KAINOK               LESEP                   AKWÓGORD                    LU


   ALERGIA               PROZA                ROPA NAFTOWA                CHAŁKA

    Kichać               Poezja                      Paliwo               Pieczywo
   Wysypka              Powieść                      Baryłka                Masło
     Katar             Literatura                Złoża Kopalne              Bułka
   Uczulenie              Epika                     Rafineria              Słodki
     Pyłki            Beletrystyka                  Benzyna               Warkocz


 awomotA abmoB         ćazcapzoR                     ałiK                  ypułahC
       vU                 ćakŁ                    ćisonezrP                ćśogaN
    eineżakS               yzŁ                   akzcążezR                  ezroM
    negtneoR             ćakałP                 awoicłP agorD                yłoG
  enwytkaoidaR          yntumS                      silifyS                einarbU

EINAWOINEIMORP        ĆAHCOLZS               ANZCYRENEW ABOROHC        WÓTSYDUN AŻALP


   OCENIAĆ        NUMER SERYJNY                      EPOS                 PACYNKA

      Nota             Informacja                   Odyseja                 Teatr
    Punktacja           Produkt                      Iliada                 Dzieci
  Wartościować         Oznaczenie                  Opowieść                 Lalka
     Szkoła               Cyfry                      Homer              Przedstawienie
   Sprawdzian           Fabryka                     Epopeja                  Ręka


     aimagiB            ćatązrpS                    ćiorK                   adoW
      meraH             aktozczS                  ćaworamS                eineinśiC
   aimagonoM            kedązroP                    adjaP                    zaG
  owtsńeżoleiW         okrówdoP                     belhC                   jópaN
       anoŻ            nawyD doP                   akpanaK                 iklebąB

  AIMAGILOP           ĆATAIMAZ                     AKMORK                  NOFYS
  TWARDY DYSK            PASKUDNY          TAŚMA IZOLACYJNA     DUCHOWIEŃSTWO

     Pojemność            Szkaradny               Kabel               Ksiądz
     Zapisywać             Brzydki              Elektryka             Zakon
     Komputer              Okropny           Bezpieczeństwo           Kościół
        Bajt              Obrzydliwy              Prąd                Jezuici
      Pamięć               Wstrętny             Gnizadko               Krzyż


        ćśeJ                learzI                akniL               awinŻ
     awyzraW            adiwaD adzaiwG           ćaząiW                śeiW
       osęiM                aigileR                tuB                kinloR
     atęzreiwZ          ynarbyW dóraN             agoN                 eloP
       ateiD                 izdyŻ                apotS              anyzsaM

 NINAIRATEGEW             MZIADUJ             AKWÓRUNZS             NJABMOK


PAŃSTWO OPIEKUŃCZE      CASABLANCA            GRZECHOTKA            WAHADŁO

      Podatki           Ingrid Bergman          Zabawka             Wychylenie
    Bezrobotny              Maroko                Wąż                 Zegar
     Socjalizm               Miasto              Dźwięk             Amplituda
      Szwecja             Czarno-biały          Dziecko               Ruch
      Zasiłek                 Port             Niemowlak             Zwisać


      najorT             dórgoimdeiS            keropzoR              aimrA
      notroN             ainawlysnarT            ćanipaZ             zreinłoŻ
  owtsńezceipzeB             aibarH               kawuS              oksjoW
    ćawonakS                  werK                kizuG              ajcnarF
    retupmoK                ripmaW               eindopS            aktsondeJ

YWOSURIWYTNA MARGORP      ALUCARD          YNZCIWAKSYŁB KEMAZ   AKSMEIZOZDUC AIGEL


    NAKRĘTKA              WIATRAK               PRUSZYĆ           PIERWIASTEK

       Gwint                 Prąd               Posypywać         Układ Okresowy
       Śruba               Energia                Śnieg               Potęga
     Otwieracz             Ramiona             Cukier Puder           Chemia
      Butelka                Młyn                 Niebo            Matematyka
       Korek              Don Kichot              Padać            Kwadratowy


       aicarB                atsU                 lobmyS             lawitseF
      ycpołhC                źdóŁ                  anaR             zraknesoiP
       akjaB                 ćśeJ             sutsyrhC suzeJ           anecS
        aloT                 afuR                  werK               pętsyW
    akconarboD               katP                  ikanZ             adzaiwG

  KELOL I KELOB             BÓIZD              YTAMGYTS             ADARTSE


       BŁĄD            PORTMONETKA             PARÓWKA              MIKSTURA

  Nieprawidłowość          Pieniądze             Hot Dog            Lekarstwo
      Pomyłka               Monety               Wędlina              Magik
     Naprawić               Kieszeń             Śniadanie           Mieszanina
   Ortograficzny            Banknot               Mięso              Składniki
     Obliczenia              Portfel             Berlinki           Połączenie


       lateM               airetużiB           akwóżyzrK                ćśolI
      lobmyS                ynoleiZ                ęimI             jeinmjanyB
      ikosyW               lydokorK           arelfuS akduB        ocąjazcratsyW
      ajcnarF          yntehcalzS ńeimaK           łutyT             muminiM
       żyraP              kenoicśreiP            tcefreP                ćohC

  ALFFIE AŻEIW           DGARAMZS                AKLOJ            JEINMJANYZRP
ORZESZKI ZIEMNE          ZACZYN              WILLA                 SYZYF

    Pistacje           Fermentować          Bogacz                Mitologia
      Słone              Chlebowy            Ogród             Wtaczać Kamień
    Arachidy              Zakwas             Basen                  Prace
     Solone               Drożdże          Posiadłość             Żeromski
    Fistaszki         Zapoczątkować           Dom                  Tartar


    dąłbleiW              jeloK          ynlakiporT cowO        einawokapO
   pułsogęrK             dzajoP                ełaiB              ikzceluK
      ycelP               ynyzS              einezdeJ        enzcutzS owyzrowT
     ywyzrK              ynzcęR               ytnuoB               ćinorhC
   odomisauQ               yroT               hcezrO             einelpeicO

      BRAG              ANYZERD        EWOSOKOK IKRÓIW          NAIPORYTS


PIORUNOCHRON          GRENLANDIA       DESKA DO PRASOWANIA      HALABARDA

     Chata                 Lód              Koszule                 Rycerz
   Odgramiacz             Dania            Prostować                Topór
      Dach                Zima              Żelazko                Siekiera
Benjamin Franklin        Eskimos           Snowboard                 Broń
      Wieś                Wyspa              Surfing            Średniowiecze


       yróG             ynladueF           ajcaurtsneM              zakoP
       ajzA               kinneL            akzcąiseiM            naloideM
  tserevE tnuoM           roineS           eineiwawrK             ajskeronA
    ezsżywjaN            ketąjaM             ateiboK               geibyW
      tebyT           ezceiwoinderŚ           serkO              ydoM aiweR

   EJALAMIH              LASAW             AKSAPDOP              AKLEDOM


    ŚWISTAK            HISTORYK            KORONER                 IKAR

     Zwierzę            Przeszłość         Dochodzenie             Wyspa
   Sen Zimowy             Nauka              Lekarz                Dedal
     Reklama            Humanista              Sąd                Skrzydła
    Sreberka               Daty              Zwłoki                Latać
    Czekolada             Szkoła            Kryminał               Wosk


      ixelP               ecloK              aidnaloH               tórkS
      ołkzS               taiwK              owtsńaP         ewokuaN owtcinwadyW
     eicęjdZ               ęimI            grubmeskuL              azdeiW
    ćaiwarpO             tnezerP         aksjeporuE ainU           kinwołS
      zarbO               iktałP              aigleB            aidepolkycnE

   AMARYTNA               AŻÓR              XULENEB                 NWP


      LUPA               TOSTER              DRZWI              WIKIPEDIA

      Szkło              Opiekać            Otwierać               Wiedza
  Powiększenie            Chleb               Pukać             Encyklopedia
   Zegarmistrz          Urządzenie           Klamka                 Online
    Soczewka             Kuchnia            Zamykać          Portal Internetowy
    Lornetka             Grzanka             Zamek               Edytowanie


        mliF            ćajiwezrP            apmaL                  ajsoR
    retsoF eidoJ          einarP              zsolK                zakuaK
  ceiwO einezcliM        okceizD            akwóraŻ               owtsńaP
 snikpoH ynohtnA         srepmaP             anaicŚ                aitesO
       osęiM            ęlwomeiN            ołtaiwŚ                 isilibT

RETCEL LABINNAH     AWORTET AHCULEIP        TEIKNIK               AJZURG
 LEŚNE RUNO           ALASKA              BAWEŁNA              GRINGO

     Owca         Stany Zjednoczone        Koszula         Wojciech Cejrowski
     Mech             Przystanek           Roślina              Turysta
    Ściółka            Ameryka            Plantacja               Biały
    Podszyt             Kanada            Materiał         Ameryka Łacińska
    Grzyby              Północ             Tkanina              Meksyk


     acilotS           abyR                 latipzS            dabamalsI
       gaT            akzsuP                 aruR               owtsńaP
    gnitropS          ęzreiwZ           akdąłoŻ ydozrW            ajzA
   ailagutroP          źdelŚ                zrakeL           dóhcsW oksilB
    acifneB            ezroM          ywomrakoP dówezrP        eiwobilaT

   ANOBZIL           ALERKAM           AIPOKSORTSAG           NATSIKAP


   KOŁYSKA              ARA               CHOMIK              KARNAWAŁ

    Dziecko            Klatka           Świnka Morska          Wielkanoc
    Huśtać            Papuga               Puszysty              Okres
     Leżeć           Kolorowy          Zwierzę Domowe             Post
    Bujanie          Powtarzać              Gryzoń           Rio De Janeiro
      Sen               Ptak                Klatka              Zabawa


      yrtaT          sknaH moT            aborohC               noaraF
   yzsżywjaN            łutyT             róbodeiN             adimariP
    enapokaZ          einageiB            awożąiC               suripaP
hcreiW yworpsaK          mliF             kytebaiD               ikanZ
      yróG              ipułG             anilusnI               tpigE

     YSYR         PMUG TSERROF           ACYZRKUC            YFILGOREIH


   GLOBUS           OTWIERACZ            KORYTARZ             KREWETKA

   Migrena              Piwo                Izba              Skorupiaki
   Miniatura          Zamykać               Długi              Różowy
     Świat             Kapsel            Mieszkanie          Owoce Morza
 Kula Ziemska         Narzędzie          Przedpokój             Sushi
  Kontynenty           Butelka            Wejście            Restauracja


    zarbO               amaJ            retahobrepuS              ćapaŁ
   eicibdO              yróG             ytiC mahtoG              awajZ
   kenusyR              ałakS                niboR             ołdyzsartS
    zralaM            tytkalatS              rekoJ                łutyT
     jówS               atorG             zrepoteiN              rówtoP

TERTROPOTUA          AINIKSAJ             NAMTAB          WÓHCUD YCMORGOP


    BERŁO          KARYKATURA             BOLID F1              WYSPA

     Tron             Przesada             Gokart                Ląd
    Władza             Osoba               Ferrari              Morze
   Insygnia       Cechy Szczególne      Robert Kubica         Madagaskar
    Korona            Rysunek              Wyścig              Skarbów
     Król            Śmieszne            Bmw Sauber             Wolin


      oduJ             einapS             owtsuzsO               ńorB
      ataM           einezcęmZ            akbórdoP                torG
      tropS              neS             owtsrezsłaF            ezrtsO
     ainopaJ        awoindułopoP           łanigyrO             ćibezrP
  iklaW ikutzS         iktórK                aipoK                akiP

   IMATAT            AKMEZRD            TAKIFYSLAF            AINZCÓŁW
     MOLO                SZADŹ            STAŃCZYK                SMS

     Woda                  Lód               Obraz              Komórka
     Morze                Zima              Wesele               Wysyłać
   Cumować                Szron             Błazen             Wiadomość
    Pomost                Mróz              Malarz                Pisać
     Sopot                Osad            Jan Matejko          160 Znaków


  ćawokłópS             akzceicU            łareniM               ażobZ
  owtsmotoP            ajcaukawE              ołkzS               okelM
     okżóŁ                rażoP            kezsileiK              iceizD
  ęiS ćahcoK            ateikytE             reikuC               iktałP
    ćakyzB               ydohcS              iksróG             einadainŚ

 ĆAWOLUPOK         ENJYRAWA EICŚJYW       ŁATZSYRK            AKNAISWO


PIEROGI RUSKIE         ZGRZEWKA            BILARD          KIEROWCA TAKSÓWKI

     Ciasto           Opakowanie             Stół            Robert De Niro
   Jedzenie             Sztuki             Snooker             Samochód
     Farsz            Sześciopak            Łuzy                Napiwek
   Ziemniaki         Woda Mineralna          Kule            Kilometrówka
    Twaróg               Piwo                 Kij                Taryfa


     notraK            einareicyW           tnezerP              subotuA
      ytuB                leipąK             otęiwŚ               gąicoP
    ćadałkW                ażalP             ćśołiM             aindzejaZ
  einawokapO            ynnehcuK       hcynahcokaZ ńeizD           yroT
     akzcaP             akneizaŁ            ytuL 41              ajckarT

   OKŁEDUP              KINZCĘR         IKNYTNELAW             JAWMART


    KORKI               OŁÓWEK         SYROP KLONOWY            KROWA

      Wino               Kredka             Kanada               Doić
  Korepetycje             Grafit            Żywica               Mleko
   Samochód               Rysik             Słodki               Milka
   Szampan               Drewno              Gęsty                Byk
 Buty Piłkarskie          Szkic             Drzewo              Wymiona


     ailgnA               anaicŚ            ćizdźeJ              zrakeL
   ytrecnoK               aruizD             ikloR                yzsU
  anżoN akłiP           eizdęzraN           ywżyŁ               aborohC
    noidatS          yworopzoR kełoK         akłóK               ołdraG
      zceM                ecńołS             igoN                 soN

   YELBMEW         AWORADU AKRATREIW       IKTORW            GOLOGNYRAL


    GAZETA          FACECI W CZERNI        IROKEZ            KONSTYTUCJA

    Papier                Agent             Głowa                Prawo
  Wiadomosci             Kosmici           Indianin             Dokument
   Wyborcza             Mężczyźni           Włosy               Trybunał
    Mucha               Will Smith           Punk           Ustawa Zasadnicza
   Dziennik                Film            Fryzura               3 Maja


    ćadałkU              akotaZ              tonK                zczsułT
  akwółgimaŁ              gezrB            ńeimołP                owiP
     yroloK               ałakS            aceiwŚ                 osęiM
   tnegyryD              ymortS            łóicśoK            aniwozrpeiW
   naicśezS             aigewroN           tsezrhC              awartoP

AKIBUR AKTSOK            DROIF            ACINMORG             AKNOLOG
  KARMAZYN             SKAKAĆ               METRO             SZCZYPIOREK

   Przypływ            Małysz               Warszawa             Zielony
     Krew            Przez Płotki            Musical            Przyprawa
     Kolor             Kangur            Podziemna Kolej          Natka
     Ryba              Do Góry               Gazetka             Twaróg
   Czerwień          Spadochron               Pociąg              Cebula


    ćareibZ            jarkS                anyżurD                aksloP
    ydapdO            owtsńaP              anżoN akłiP               lórK
     pukS          akswokłaN aifoZ           ailgnA            ezceiwoinderŚ
     azdR              yrtaT             eugaeL reimerP           acdałW
    elateM             kinleC                 bulK                  iksiN

    MOŁZ              ACINARG          DETINU RETSEHCNAM   KETEIKOŁ WAŁSYDAŁW


   BOSMAN          MASTURBACJA                WII                UBUNTU

    Marynarz           Onanizm              Gry Wideo              Root
     Stopień       Samozadowolenie           Konsola               Linux
Prace Pokładowe           69               Play Station    Darmowe Oprogramowanie
     Statek          Przyjemność         Bezprzewodowe            Debian
      Piwo             Rozkosz              Nintendo              System


   ysapjaB             einezdeJ           icśinroipyzczS       doowrehS saL
    agileR               llirG           lamzS rimowałS           noiraM
  pezczsezrP        ewoiborD osęiM        wókindowaZ 6              kuŁ
   ajcarepO             tugoK             ikceleiB loraK      ieizdołZ ężąisK
     ecreS            kinrakeiP             anilpycsyD      mahgnittoN Z fyrezS

GRURIHCOIDRAK     ANŻOR Z KAZCRUK        ANZCĘR AKŁIP         DOOH NIBOR


   PLUTON            ENDORFINY              BLUSZCZ               DZIEŃ

Bomba Atomowa           Mózg                 Pnącze               Miesiąc
  Pierwiastek          Orgazm               Doniczka                Noc
    Żołnierz          Czekolada             Oplatać                Doba
    Oddział           Szczęście              Roślina              Godzina
    Planeta            Hormon                 Kwiat               Słońce


   atanyraM             ynaicŚ               bóizD                nanaB
    kerógO               kolB                rewoR              natugnarO
    ynozsiK         ynnizdorondeJ             katP                akyrfA
     kiołS            kenyduB                 abyR               kedozrP
     tecO             ćakzseiM                ćasiP                lyroG

 NOZSINROK               MOD                NAKILEP               APŁAM


   WANTA                KRYM               EUGENIKA        PRZYSTANEK NA ŻĄDANIE

      Lina           Morze Czarne            Nauka                 Stop
    Szanta             Półwysep               Geny               Autobus
     Jacht         Jaskółcze Gniazdo        Gatunek              Tramwaj
  Żeglarstwo            Ukraina           Dziedziczenie           Guzik
     Rejs                Jałta               Naziści               Ręka


 surP wałseloB            daG             akrawikuzsyW               śoŁ
      yłoinA             ajimŻ           ewotzcoP otnoK             igoR
     kesuraK              żąW              ćśomodaiW               floduR
  eiksńeŻ ęimI         akwabaZ                elgooG                ńeleJ
     arutkeL           ytiwodaJ              tenretnI          ajałokiM einaS

   AKLEINA         KINTOHCEZRG               LIAMG               REFINER
     AZBEST             KASETA VIDEO           CMENTARZ                 ŁUK

     Eternit                 Film                Grób                   Kusza
    Pokrywać              Odtwarzacz            Powązki                Cięciwa
      Dach                   Vhs               Nekropolia              Strzały
    Szkodliwy               Taśma               Trumna               Wilhelm Tell
   Rakotwórczy               Dvd                Pogrzeb              Robin Hood


       soS                   daibO                okjaJ                  ecreS
  enoleiM osęiM            einezdeJ           legoM - legoK             eicuzcU
      daibO                 kezcolB               atajzA              ćśiwaneiN
 aksmyzR ńezceiP           akrahcuK               okłaiB              inahcokaZ
     tepluP                 ałokzS                 aruK              anzcinotalP

      SPOLK              AKWÓŁOTS               OKTŁÓŻ                ĆŚOŁIM


     ONUCA                KRASNAL             SZALENIEC            NIĆ ARIADNY

       Noga                Hałabała         Psychicznie Chory         Tezeusz
     Skarpeta                Skrzat               Wariat              Labirynt
      Stopa            Królewna Śnieżka          Oszołom               Kłębek
     Żołnierz               Śnieżka            Nienormalny            Minotaur
      Wojsko               Ogrodowy       Kaftan Bezpieczeństwa       Mitologia


     zcabroT                nyterK               ajculowE              ęzreiwZ
    sutpilakuE             lycebmI           ynlarutaN róboD          ceizdźeJ
     ailartsuA           ajcnegiletnI            aigoloiB                ńoK
     ęzreiwZ                kepułG                akuaN                ainjatS
        śiM                  libeD                apłaM               awokdoP

      ALAOK                ATOIDI           NIWRAD LORAK               KAMUR


   HIPODROM              KING KONG            AVIOMARIN               ARMATA

     Służewiec               Film                Podróż                Wojna
    Jeździectwo            Ogromny              Wymioty                 Kula
      Wyścigi               Goryl               Nudności               Działo
        Koń                 Małpa              Lokomotiv               Proch
        Tor                 Wielki             Samochód                Broń


      ćacuzR               okwezrD            awoiloF abroT            ćreimŚ
   akyteltaakkeL           akbmoB                 ypukaZ              bezrgoP
     adaipmilO              ćareibU            tekramrepiH              sazC
      ydowaZ               ytnezerP               aktaiS               kesaiP
 ikswejaM zsamoT            atęiwŚ                 pelkS            ćawypysezrP

ĄLUK EICĘINHCP            AKNIOHC            AKWÓMALKER             ARDYSPELK


  GUANTANAMO          KRZYSZTOF KOLUMB     REWOLWEROWIEC              HORMON

      Jeniec               Indianie           Dziki Zachód        Związek Chemiczny
       Kuba               Odkrywca              Pistolet              Adrenalina
Obóz Koncentracyjny          1492               Western                Gruczoły
     Talibowie            Ameryka               Południe               Wzrostu
     Więzienie            Podróżnik             Kowboj               Testosteron


       ćicęrK                acilotS             ynwałS                ćiwóM
       yretiL            ceiweżułS roT           ćatsoP            awołS eikdzyrB
       ołsaH                 ytabaK               mliF              mzyragluW
    ikswonajiP             awazsraW             ćawotaR              endałeiN
    jeinruteleT             acinleizD           agawdO                ćagzulB

 YNUTROF OŁOK             WÓNYSRU              RETAHOB              ĆANILKEZRP
   DRUKARKA           WIENIEC LAUROWY          MACOCHA                     OPIUM

       Tusz                Nagroda              Pasierb                Odurzający
      Papier              Olimpiada             Ojczym               Przeciwbólowy
     Laserowa            Starożytność          Przybrana                Narkotyk
     Komputer              Spocząć               Rodzic                  Morfina
   Atramentowa             Igrzyska            Żona/mąż                   Mak


     ezcydołS           hcivovoJ alliM           ypsyW                    ainhcuK
       dóiM               tnemgarF                oikoT                     ćisuD
       ahA                  ćśęzC                agnaM                   einawotoG
       acilU                 ytąiP          ainśiW acąntiwK                 okelM
     medoiM Z              kindałkS              eminA                     kenraG

    IKMAZES               TNEMELE              AINOPAJ                    LEDNOR


    REKLAMA                 ATOL             PENICYLINA                     GONG

       Baner                Ocean              Antybiotyk               Uderzać
       Ulotka            Tropikalny             Zastrzyk              Instrument
     Bilboard           Rafa Koralowa            Chory                   Obiad
     Telewizja              Wyspa          Alexander Fleming        Runda Bokserska
      Produkt              Laguna              Lekarstwo                Sygnał


     ycmeiN               ikiM akzsyM            łoicęizD                einawoloP
 muihcanoM reyaB           tnedyzerP             owezrD                  akzcedóW
      okelM            róibU iksranyraM           dawO                   akzcezsalF
       ćiP                    ksuT              kindokzS                  akletuB
     atabreH                 yensiD               kaboR                   lohoklA

    AKRAWAB            DLANOD ROZCAK            KINROK               AKWÓISREIP


    ŚREDNIK              ŻARÓWKA                OPOLE             FESTIWAL PIOSENKI ŻOŁNIERSKIEJ



   Rozdzielanie            Pomysł              Festiwal                   Mundur
Znak Interpunkcyjny        Światło              Miasto                     Morze
  Zdanie Złożone           Lampa               Amfiteatr                   Scena
     Przecinek             Edison                Odra                     Wojsko
      Kropka                Klosz               Śląsk                    Kołobrzeg


    dóhcomaS               aknalkzS             atiuqihC                     ńorB
      awołG               kezsunraG              cowO                       hcorP
      yraifO                  ćiP                igułD                      ksicoP
    kedapyW                atabreH                ytłóŻ                    telotsiP
     askarK                  ohcU                apłaM                     ćalezrtS

EWOŁOZC EINEZREDZ          KEBUK                NANAB                      JÓBAN


   POZIOMICA               OPERA          MIROSŁAW HERMASZEWSKI          TRĄDZIK

      Pion                   Aria                 Łajka                 Wypryski
     Równy                 Mydlana           Lot Kosmiczny               Pryszcz
     Budowa                 Tenor               Kosmos                    Skóra
    Warstwica              Libretto             Rakieta                Dermatolog
    Izohipsa              Moniuszko           Astronauta               Dojrzewanie


      yhcołW              owyzceiP               awarT                  awokdąłoŻ
       oruE               kinmejoP                eleiZ                  akzcąroG
     ezdąineiP          ćawywohcezrP            eiponoK                  aborohC
       ailatI               akłuB                 ćilaP                   aisatP
      atulaW               ainhcuK              kytokraN                  suriW

       RIL                KABELHC            ANAUHIRAM                     APYRG
    ŚCIERKA            LATARNIK            ANATOMIA               KASJOPEA

     Tkanina              Brzeg              Części                Galaktyka
    Do Naczyń            Światło            Człowiek                 Niebo
      Szmata             Wysoki              Mięśnie               Mitologia
     Sprzątać             Morze              Organy              Gwiazdozbiór
    Do Kurzu           Sienkiewicz            Ciało               Andromeda


     atsytrA            ahcutsoK              abloK                 ikroK
    ywojokoP             ćąnigZ         azdyrukuK anożarP          ałokzS
     ynaicŚ              ćezrmU               onraiZ                ńezcU
      abraF               eicyŻ                oniK           ewoktadoD aicęjaZ
   okjetaM naJ           ceinoK               ołsaM              leicyzcuaN

    ZRALAM              ĆREIMŚ             NROCPOP              EJCYTEPEROK


MACIEK MALEŃCZUK   WIRTUALNA POLSKA        UŚMIECH           KISZONA KAPUSTA

    Waglewski            Portal               Usta                   Bigos
    Piosenkarz         Wiadomości            Radość                 Pierogi
      Pudelsi         Wyszukiwarka            Wargi                  Sałata
   Homo Twist            Poczta              Emocje                 Ogórek
  Czarna Mamba          Internet             Wesoły                 Kwaśny


     jerizdoW           kinwraB             naipetroF                 ćyŻ
      jeicaM              roloK              ksicyzrP                 bolG
        aloR            aninaleM            eineizęiW                tnurG
    ajsimskeS            abraF               oninaiP                 kinloR
       rotkA             arókS              retupmoK                somsoK

  RHUTS YZREJ          TNEMGIP             ZSIWALK                 AIMEIZ


  HOLLYWOOD             SFINKS             NAPOLEON              CAPPUCINO

       Film                Egipt              Wódz                  Mleko
     Gwiazdy             Piramida            Francja                Kawa
    Ameryka               Faraon             Koniak                 Pianka
   Beverly Hills        Starożytny            Elba                  Włochy
   Los Angeles       Sieć Restauracji   Cesarz Francuzów           Espresso


  agjowD abezrT        neikloT .r.r.J        kebuK                 kinrecnaP
    anytnegrA             tibboH            einyzcaN                 tęrkO
      ceinaT              nippiP              jópaN              anraloP azroZ
     agnoliM           dooW hajilE          atabreH         awokinreizdźaP ajculoweR
  arelfuS akduB     ineicśreiP acdałW         knirD               grubsreteP

     OGNAT          SNIGGAB ODORF          AKNALKZS                ARORUA


     DRWAL           WYKŁADZINA            TSUNAMI           DOMOWE PRZEDSZKOLE

      Rąbać                Pcv               Powódź                Telewizja
      Topór              Panele          Trzęsienie Ziemi          Hałabała
     Ścinać             Podłoga                Fala                 Dzieci
       Las              Dywan                 Ocean                 Żłobek
